,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
1,41152.13,334.79,23.82,0,606.7,,,,,,,,334.79,23.82,#N/A,606.7,,,
1,41152.17,334.81,23.82,0.27,606.7,,,,,,,,334.81,23.82,#N/A,606.7,,,
1,41152.17,334.81,23.82,0,606.7,,,,,,,,334.81,23.82,#N/A,606.7,,,
1,41152.18,334.82,23.82,0,606.7,,,,,,,,334.82,23.82,#N/A,606.7,,,
1,41152.21,345.78,23.82,30.68,602.1,,,,,,,,345.78,23.82,#N/A,602.1,,,
1,41152.25,348.9,23.82,0.27,600.79,,,,,,,,348.9,23.82,#N/A,600.79,,,
1,41152.29,348.9,23.82,1.02,600.79,,,,,,,,348.9,23.82,#N/A,600.79,,,
1,41152.33,350.97,23.82,30.08,599.92,,,,,,,,350.97,23.82,#N/A,599.92,,,
1,41152.35,357.36,23.82,30.18,597.24,,,,,,,,357.36,23.82,#N/A,597.24,,,
1,41152.38,368.07,23.82,0,592.74,,,,,,,,368.07,23.82,#N/A,592.74,,,
1,41152.42,368.22,23.82,0,592.67,,,,,,,,368.22,23.82,#N/A,592.67,,,
1,41152.46,368.84,23.82,0,592.41,,,,,,,,368.84,23.82,#N/A,592.41,,,
1,41152.50,371.87,23.82,0,591.14,,,,,,,,371.87,23.82,#N/A,591.14,,,
1,41152.54,373.43,23.82,30.08,590.49,,,,,,,,373.43,23.82,#N/A,590.49,,,
1,41152.57,376.49,23.82,0.27,589.2,,,,,,,,376.49,23.82,#N/A,589.2,,,
1,41152.58,376.49,23.82,0,589.2,,,,,,,,376.49,23.82,#N/A,589.2,,,
1,41152.63,379.34,23.82,0.27,588.01,,,,,,,,379.34,23.82,#N/A,588.01,,,
1,41152.67,381.32,23.82,14.45,587.17,,,,,,,,381.32,23.82,#N/A,587.17,,,
1,41152.71,413.3,23.82,53.77,573.74,,,,,,,,413.3,23.82,#N/A,573.74,,,
1,41152.75,426.92,23.82,11.75,568.04,,,,,,,,426.92,23.82,#N/A,568.04,,,
1,41152.79,438.91,35.81,50.08,563.02,,,,,,,,438.91,35.81,#N/A,563.02,,,
1,41152.83,448.65,45.55,3.18,558.9,,,,,,,,448.65,45.55,#N/A,558.9,,,
1,41152.89,450.43,47.33,0,558.18,,,,,,,,450.43,47.33,#N/A,558.18,,,
1,41152.92,450.57,47.47,0.38,558.18,,,,,,,,450.57,47.47,#N/A,558.18,,,
1,41152.93,450.6,47.5,0,558.18,,,,,,,,450.6,47.5,#N/A,558.18,,,
1,41152.96,450.74,47.64,0,558.18,,,,,,,,450.74,47.64,#N/A,558.18,,,
1,41153.00,450.93,47.83,0.38,558.17,,,,,,,,0,0,#N/A,558.17,,,
1,41153.04,451.13,47.83,0,558.16,,,,,,,,0.2,0,#N/A,558.16,,,
1,41153.08,451.75,47.83,0,557.95,,,,,,,,0.82,0,#N/A,557.95,,,
1,41153.14,451.75,47.83,0.27,557.95,,,,,,,,0.82,0,#N/A,557.95,,,
1,41153.17,451.75,47.83,0,557.95,,,,,,,,0.82,0,#N/A,557.95,,,
1,41153.18,451.97,47.83,0,557.86,,,,,,,,1.04,0,#N/A,557.86,,,
1,41153.21,456.51,47.83,0,555.97,,,,,,,,5.58,0,#N/A,555.97,,,
1,41153.25,468.18,47.83,0,551.06,,,,,,,,17.25,0,#N/A,551.06,,,
1,41153.29,468.28,47.83,0,551.03,,,,,,,,17.35,0,#N/A,551.03,,,
1,41153.32,468.28,47.83,1.23,551.03,,,,,,,,17.35,0,#N/A,551.03,,,
1,41153.32,468.52,47.83,30.08,550.93,,,,,,,,17.59,0,#N/A,550.93,,,
1,41153.33,468.57,47.83,0,550.91,,,,,,,,17.64,0,#N/A,550.91,,,
1,41153.36,468.57,47.83,0,550.91,,,,,,,,17.64,0,#N/A,550.91,,,
1,41153.37,468.59,47.83,1.88,550.9,,,,,,,,17.66,0,#N/A,550.9,,,
1,41153.38,468.59,47.83,1.88,550.9,,,,,,,,17.66,0,#N/A,550.9,,,
1,41153.40,468.59,47.83,0,550.9,,,,,,,,17.66,0,#N/A,550.9,,,
1,41153.42,468.59,47.83,0,550.9,,,,,,,,17.66,0,#N/A,550.9,,,
1,41153.43,468.6,47.83,0,550.9,,,,,,,,17.67,0,#N/A,550.9,,,
1,41153.46,468.6,47.83,0.38,550.9,,,,,,,,17.67,0,#N/A,550.9,,,
1,41153.50,487.57,47.83,30.58,542.93,,,,,,,,36.64,0,#N/A,542.93,,,
1,41153.50,488.45,47.83,30.78,542.56,,,,,,,,37.52,0,#N/A,542.56,,,
1,41153.54,495.19,47.83,0,539.72,,,,,,,,44.26,0,#N/A,539.72,,,
1,41153.58,495.29,47.83,0,539.68,,,,,,,,44.36,0,#N/A,539.68,,,
1,41153.63,495.33,47.83,0,539.66,,,,,,,,44.4,0,#N/A,539.66,,,
1,41153.67,495.36,47.83,0,539.65,,,,,,,,44.43,0,#N/A,539.65,,,
1,41153.71,500.91,47.83,0,537.32,,,,,,,,49.98,0,#N/A,537.32,,,
1,41153.75,500.91,47.83,0,537.32,,,,,,,,49.98,0,#N/A,537.32,,,
1,41153.79,500.91,47.83,0,537.32,,,,,,,,49.98,0,#N/A,537.32,,,
