,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
10,41152.13,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.17,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.17,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.18,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.21,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.25,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.29,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.33,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.35,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.38,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.42,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.46,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.50,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.54,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.57,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.58,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.63,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.67,120.32,1.56,0,20.33,,,,,,,,120.32,1.56,#N/A,20.33,,,
10,41152.71,137.76,1.56,21.64,13.01,,,,,,,,137.76,1.56,#N/A,13.01,,,
10,41152.75,142.13,1.56,0,11.17,,,,,,,,142.13,1.56,#N/A,11.17,,,
10,41152.79,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41152.83,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41152.89,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41152.92,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41152.93,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41152.96,142.13,1.56,0,211.17,,,,,,,,142.13,1.56,#N/A,211.17,,,
10,41153.00,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.04,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.08,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.14,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.17,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.18,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.21,142.13,1.56,0,211.17,,,,,,,,0,0,#N/A,211.17,,,
10,41153.25,143.45,1.56,3.94,210.61,,,,,,,,1.32,0,#N/A,210.61,,,
10,41153.29,145.88,1.56,0,209.6,,,,,,,,3.75,0,#N/A,209.6,,,
10,41153.32,146.15,1.56,0,209.51,,,,,,,,4.02,0,#N/A,209.51,,,
10,41153.32,146.16,1.56,0.27,209.51,,,,,,,,4.03,0,#N/A,209.51,,,
10,41153.33,146.32,1.56,3.83,209.44,,,,,,,,4.19,0,#N/A,209.44,,,
10,41153.36,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.37,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.38,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.40,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.42,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.43,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.46,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.50,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.50,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.54,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.58,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.63,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.67,146.42,1.56,0,209.4,,,,,,,,4.29,0,#N/A,209.4,,,
10,41153.71,160.19,1.56,21.64,203.63,,,,,,,,18.06,0,#N/A,203.63,,,
10,41153.75,164.92,1.56,0,201.64,,,,,,,,22.79,0,#N/A,201.64,,,
10,41153.79,164.92,1.56,0,201.64,,,,,,,,22.79,0,#N/A,201.64,,,
10,41153.83,164.92,1.56,0,201.64,,,,,,,,22.79,0,#N/A,201.64,,,
